Metric,Value
Name,.\Experiments\Reactor\Reactor_r1_c1
Exp,Reactor_r1_c1
Rep,1
Num Enc,2
Num Dec,2
Num Res,10
Num LN,12
Num AVGP,0
Num Dense,15
Num ReLu,0
Num SiLU,4
Num Attn,6
Config File,.\data\reactor_config_huggingface.json
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
Enc Seq Len,8
Pred Len,1
Overlap,1
TNN Model Dims,64
TNN Head Dims,32
TNN Head Size,2
TNN Input Dim,28
Config,1
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),86400.0
Num Threads,0
Num Vars,115682
Num Constraints,8131
Num Cont Vars,115682
Num Int Vars,0
Num Bin Vars,0
Run Time (s),684.2739999294281
Run Time (wu),1106.390223412479
Num Iters,2145566.0
Num Nodes Expl,1781.0
Num Solns,1
Opt Gap,0.0
Obj Value,0.0654264259439805
RNR Obj Value,0.0654264259439805
RNR Iters,0
