Metric,Value
Name,.\Experiments\Reactor_\reactor_r1_c1
Exp,reactor_r1_c1
Rep,1
Num Enc,2
Num Dec,2
Num Res,10
Num LN,12
Num AVGP,0
Num Dense,15
Num ReLu,0
Num SiLU,4
Num Attn,6
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
Enc Seq Len,8
TNN Model Dims,64
TNN Head Dims,32
TNN Head Size,2
TNN Input Dim,28
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,179643
Num Constraints,39109
Num Cont Vars,179255
Num Int Vars,0
Num Bin Vars,388
Run Time (s),43200.25999999046
Run Time (wu),87531.78102357725
Num Iters,12667847.0
Num Nodes Expl,1786.0
Num Solns,0
Opt Gap,inf
Obj Value,
RNR Obj Value,0.04361761729598701
RNR Iters,0
