Name,Exp,Rep,Num Enc,Num Dec,Num Res,Num LN,Num AVGP,Num Dense,Num ReLu,Config File,Model,TNN Out Expected,Activated Bounds/Cuts,TNN Out,Enc Seq Len,Pred Len,Overlap,TNN Model Dims,TNN Head Dims,TNN Head Size,TNN Input Dim,Config,Framework,Solver,Time Limit (seconds),Num Threads,Num Vars,Num Constraints,Num Cont Vars,Num Int Vars,Num Bin Vars,Run Time (s),Run Time (wu),Num Iters,Num Nodes Expl,Num Solns,Opt Gap,Obj Value,RNR Obj Value,RNR Iters
.\Experiments\Track_k_e_2\track_k_e_2_r2_c1,track_k_e_2_r2_c1,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': True, 'LN_num': True, 'LN_num_squ': True, 'LN_denom': True, 'LN_num_squ_sum': True, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,1,gurobipy,gurobi,3600.0,0,462,298,458,0,4,1102.3049998283386,79.72740513159536,12568820.0,693178.0,10,0.0,0.0008352204757619865,0.0008352204757619899,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c10,track_k_e_2_r2_c10,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,10,gurobipy,gurobi,3600.0,0,462,264,458,0,4,1735.8659999370575,902.0965037360615,160668940.0,5878679.0,10,0.0,0.00020580651116850444,0.00020580650399894956,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c11,track_k_e_2_r2_c11,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,11,gurobipy,gurobi,3600.0,0,462,248,458,0,4,1105.930999994278,570.3131326229656,99086661.0,3688256.0,10,3.5039454806511775e-05,0.00020581371559933587,0.00020580650399894956,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c12,track_k_e_2_r2_c12,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': False, 'LN_mean': True, 'LN_num': True, 'LN_num_squ': True, 'LN_denom': True, 'LN_num_squ_sum': True, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}",,2,1,1,2,4,1,2,12,gurobipy,gurobi,3600.0,0,462,250,458,0,4,3600.013000011444,1449.1489304095705,369943217.0,43556586.0,0,inf,,0.00020580650399894956,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c13,track_k_e_2_r2_c13,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': False, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}",,2,1,1,2,4,1,2,13,gurobipy,gurobi,3600.0,0,462,250,458,0,4,3600.0060000419617,2625.5116989207877,577721452.0,16066597.0,0,inf,,0.00020580650399894956,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c14,track_k_e_2_r2_c14,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': False, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}",,2,1,1,2,4,1,2,14,gurobipy,gurobi,3600.0,0,462,248,458,0,4,3600.055999994278,1435.0661674174592,470404096.0,45422825.0,0,inf,,0.00020580650399894956,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c2,track_k_e_2_r2_c2,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': True, 'LN_num': True, 'LN_num_squ': True, 'LN_denom': True, 'LN_num_squ_sum': True, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,2,gurobipy,gurobi,3600.0,0,462,250,458,0,4,145.7739999294281,72.81013290020313,13554695.0,630954.0,10,0.0,0.0008352295226889614,0.0008352295226889579,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c3,track_k_e_2_r2_c3,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': True, 'LN_num': True, 'LN_num_squ': True, 'LN_denom': True, 'LN_num_squ_sum': True, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,3,gurobipy,gurobi,3600.0,0,462,250,458,0,4,221.30599999427795,110.05192348001059,18320170.0,968366.0,9,0.0,0.0008351928462674574,0.0008351928462674574,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c4,track_k_e_2_r2_c4,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': True, 'LN_num': True, 'LN_num_squ': True, 'LN_denom': True, 'LN_num_squ_sum': True, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}","[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]",2,1,1,2,4,1,2,4,gurobipy,gurobi,3600.0,0,462,248,458,0,4,132.13900017738342,66.14932989775726,12078471.0,549203.0,10,0.0,0.0008352061399075281,0.0008352061399075246,0
.\Experiments\Track_k_e_2\track_k_e_2_r2_c5,track_k_e_2_r2_c5,1,1,0,2,2,0,4,2,.\data\toy_track_k_enc_config_2.json,.\trained_transformer\TNN_traj_enc_2.keras,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]","{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}",,2,1,1,2,4,1,2,5,gurobipy,gurobi,3600.0,0,462,248,458,0,4,3600.010999917984,1926.861527775678,309999752.0,11142169.0,10,0.7539394730013758,,0.00020580650399894956,0
