Metric,Value
Name,.\Experiments\Track_k_e_2\track_k_e_2_r1_c10
Exp,track_k_e_2_r1_c10
Rep,1
Num Enc,1
Num Dec,0
Num Res,2
Num LN,2
Num AVGP,0
Num Dense,4
Num ReLu,2
Config File,.\data\toy_track_k_enc_config_2.json
Model,.\trained_transformer\TNN_traj_enc_2.keras
TNN Out Expected,"[[[0.016436167061328888, 0.026324184611439705], [0.017838314175605774, 0.07409560680389404]]]"
Activated Bounds/Cuts,"{'LN_var': 1, 'LN_mean': 0, 'LN_num': 0, 'LN_num_squ': 0, 'LN_denom': 0, 'LN_num_squ_sum': 0, 'MHA_Q': 1, 'MHA_K': 1, 'MHA_V': 1, 'MHA_attn_weight_sum': 1, 'MHA_attn_weight': 1, 'MHA_compat': 1, 'MHA_compat_exp': 1, 'MHA_compat_exp_sum': 1, 'MHA_QK_MC': 1, 'MHA_WK_MC': 1, 'MHA_attn_score': 1, 'MHA_output': 1, 'RES_var': 1, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out,"[[0.01643617 0.02632418]
 [0.01783831 0.07409561]]"
Enc Seq Len,2
Pred Len,1
Overlap,1
TNN Model Dims,2
TNN Head Dims,4
TNN Head Size,1
TNN Input Dim,2
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),21600.0
Num Threads,0
Num Vars,412
Num Constraints,266
Num Cont Vars,408
Num Int Vars,0
Num Bin Vars,4
Run Time (s),10.80299997329712
Run Time (wu),5.2648296562221395
Num Iters,802242.0
Num Nodes Expl,22336.0
Num Solns,8
Opt Gap,0.0
Obj Value,0.003063304891100205
RNR Obj Value,0.0030633048911002086
RNR Iters,0
