Rep,Config,Num Vars,Num Constraints,Num Cont Vars,Num Int Vars,Num Bin Vars,Run Time (s),Run Time (wu),Num Iters,Num Nodes Expl,Num Solns,Opt Gap,Obj Value,RNR Obj Value,RNR Iters
4,1,462,298,458,0,4,2729.544,1400.536543,252080670,9162223,10,3.73E-06,0.000205807,0.000205807,0
5,1,462,298,458,0,4,2792.617,1400.536543,252080670,9162223,10,3.73E-06,0.000205807,0.000205807,0
4,2,462,250,458,0,4,3600.012,1799.66892,311341386,11528579,10,0.397331266,,0.000205807,0
5,2,462,250,458,0,4,3600.089,1807.997739,312690151,11584869,10,0.397267282,,0.000205807,0
4,3,462,250,458,0,4,775.1199999,396.7779671,68022989,2257005,10,3.96E-06,0.000205807,0.000205807,0
5,3,462,250,458,0,4,771.3440001,396.7779671,68022989,2257005,10,3.96E-06,0.000205807,0.000205807,0
4,4,462,248,458,0,4,802.3080001,394.436914,58038209,2358770,10,0,0.000205807,0.000205807,0
5,4,462,248,458,0,4,790.7840002,394.436914,58038209,2358770,10,0,0.000205807,0.000205807,0
4,5,462,264,458,0,4,1434.187,718.2213326,153978619,4345318,10,8.69E-05,0.000205824,0.000205807,0
5,5,462,264,458,0,4,1421.754,718.2213326,153978619,4345318,10,8.69E-05,0.000205824,0.000205807,0
4,6,462,248,458,0,4,386.434,189.0975266,31217095,1091379,10,6.45E-05,0.00020582,0.000205807,0
5,6,462,248,458,0,4,384.177,189.0975266,31217095,1091379,10,6.45E-05,0.00020582,0.000205807,0
4,7,462,248,458,0,4,3600.029,1526.939371,672996015,51023136,0,inf,,0.000205807,0
5,7,462,248,458,0,4,3600.01,1515.356864,666579097,50605152,0,inf,,0.000205807,0
