Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_focus2\vit_6_2_6_12_i4_r1_c3
Exp,vit_6_2_6_12_i4_r1_c3
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-3.84550452e+00  2.71804214e+00 -1.42181182e+00  5.47484589e+00
 -6.74414635e-03  2.21136785e+00 -8.54395294e+00  9.09667492e+00
 -2.31529975e+00  3.33421397e+00]"
max purturb,9.999261023367262e-05
min purturb,0.0
TNN Out,
Enc Seq Len,1
TNN Model Dims,6
TNN Head Dims,1
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),16200.0
Num Threads,0
Num Vars,4537
Num Constraints,2925
Num Cont Vars,4237
Num Int Vars,0
Num Bin Vars,300
Run Time (s),2430.5750000476837
Run Time (wu),4100.945801338485
Num Iters,71230647.0
Num Nodes Expl,425464.0
Num Solns,0
Opt Gap,inf
Obj Value,
RNR Obj Value,34.609396919530866
RNR Iters,0
