name,dim,depth,heads,mlp_dim,avg_test_loss,test_accuracy
vit_6_1_6_12,6,1,6,12,0.7293,76.25%
vit_6_1_6_12,6,1,6,12,0.7244,76.39%
vit_6_2_6_12,6,2,6,12,0.6207,80.07%
vit_6_4_6_12,6,4,6,12,0.4960,84.33%
vit_12_1_6_12,12,1,6,12,0.4848,84.44%
vit_12_2_6_12,12,2,6,12,0.4510,85.23%
vit_12_4_6_12,12,4,6,12,0.3801,87.73%
vit_18_1_6_12,18,1,6,12,0.3998,87.23%
vit_18_2_6_12,18,2,6,12,0.3456,88.37%
vit_18_4_6_12,18,4,6,12,0.3304,89.24%
vit_24_1_6_12,24,1,6,12,0.4250,86.23%
vit_24_2_6_12,24,2,6,12,0.3413,89.01%
vit_24_4_6_12,24,4,6,12,0.3246,89.92%
