name,dim,depth,heads,mlp_dim,avg_test_loss,test_accuracy
vit_6_1_6_12,6,1,6,12,0.5628,82.38%
vit_6_2_6_12,6,2,6,12,0.4634,85.68%
vit_6_4_6_12,6,4,6,12,0.4189,87.44%
vit_12_1_6_12,12,1,6,12,0.3534,88.92%
vit_12_2_6_12,12,2,6,12,0.2423,92.42%
vit_12_4_6_12,12,4,6,12,0.2440,92.24%
vit_18_1_6_12,18,1,6,12,0.2685,91.60%
vit_18_2_6_12,18,2,6,12,0.2187,93.33%
vit_18_4_6_12,18,4,6,12,0.1770,94.42%
vit_24_1_6_12,24,1,6,12,0.2460,92.42%
vit_24_2_6_12,24,2,6,12,0.1857,94.20%
vit_24_4_6_12,24,4,6,12,0.1664,94.73%
