input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3
"(10, 1)",2,1,3,1,[5],0,0,0.2,50,500,0.001,0.0029001978960800016,0.0030958788636951035,0.00414007602842204,0.20966457526903967,0.14244992375804036,0.6582937682913255,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3
"(10, 1)",2,1,3,1,[5],0,0,0.2,50,500,0.001,0.0029001978960800016,0.0030958788636951035,0.00414007602842204,0.20966457526903967,0.14244992375804036,0.6582937682913255,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_1.keras
"(10, 1)",2,2,3,1,[5],0,0,0.2,50,500,1e-05,0.3142845782749715,0.33640615064722434,0.45582750919208853,0.3962971466694316,0.04318225961448218,0.49621290141883073,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_1.keras
"(10, 1)",2,2,3,1,[5],0,0,0.2,50,1000,1e-05,1.4724572648492466e-05,2.646851442058487e-05,8.411155065945415e-05,0.20062642769262265,0.15204323133976627,0.6707644818499165,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_2.keras
"(10, 1)",3,2,4,2,[10],0,0,0.2,50,1000,0.0001,0.0007343104844224515,0.0008341107975582932,0.0013689672154513556,0.20512899493623554,0.14715444787763932,0.6638606931454513,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_2.keras
"(10, 1)",3,2,4,2,[10],0,0,0.2,800,20000,0.001,0.1806534664743502,0.2621308554536158,0.6878684518103123,0.8056090036115091,0.5147313336356476,0.3576993511345415,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_2.keras
"(10, 1)",3,5,4,3,[10],0,0,0.2,800,512,0.001,0.002381081740382679,0.0026370436577674494,0.005943341908759559,0.20174092468074767,0.15098841670670735,0.6730089546534447,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_2.keras
"(10, 1)",20,4,4,2,[15],0,0,0.2,800,500,0.001,0.35365108344789165,0.6304413077804835,2.043412278170125,0.1264274620885808,0.3752346595375459,1.3649712298940722,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_2.keras
"(2, 1, 10)",256,4,4,2,[128],0,0,0.2,800,500,0.001,0.0003504036876504148,0.0010693382315371824,0.01545194727250662,2.6973734021035533e-05,0.00015763986759110456,0.14652541652823659,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,4,4,2,[20],0,0,0.2,200,64,0.001,0.0005411757398331713,0.07831954970748581,0.36093103126007836,0.0005801962924929597,0.07775073963108346,0.5201887326777405,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,4,4,2,[128],0,0,0.2,200,64,0.001,0.001168567626886786,0.001183773420717904,0.007645445893636142,0.001294881663558782,0.0013525203171646353,0.0503164975769391,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,4,4,2,[128],0,0,0.2,200,32,0.001,0.004763831455592079,0.0015769637888380266,0.02548831403144761,0.004382707279451432,0.0016197802199472422,0.11586631387545064,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
"(2, 1, 10)",10,4,4,2,[128],0,0,0.2,200,128,0.001,0.07455523545221791,0.3951854008952938,1.5757822437927094,0.01631943036763369,0.1890425834761475,1.1717862761288789,
input_shape,head_size,num_heads,ff_dim,num_transformer_blocks,mlp_units,mlp_dropout,dropout,validation_split,epochs,batch_size,learning_rate,rmse_x_1,rmse_x_2,rmse_x_3,rmse_u_1,rmse_u_2,rmse_u_3,model_reducing_transformer_small_copy_256.keras
